[310996478(TR: 10.91640, TS: 10.55793) -> {880680199=204, 1689826712=90, 1119091505=90, 1998680479=90}]
[1421660341(TR: 10.91644, TS: 10.64003) -> {880680199=188, 1689826712=86, 1119091505=86, 1998680479=86}]
[2132846772(TR: 10.91652, TS: 10.58884) -> {880680199=132, 1689826712=62, 1119091505=62, 1998680479=62}]
[1860516913(TR: 10.91660, TS: 10.48546) -> {880680199=256, 1689826712=118, 1119091505=118, 1998680479=118}]
[928664206(TR: 10.91682, TS: 10.54700) -> {880680199=442, 1689826712=197, 1119091505=181, 1998680479=180, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[97586600(TR: 10.91683, TS: 10.53607) -> {880680199=294, 1689826712=133, 1119091505=133, 1998680479=133}]
[2135847086(TR: 10.91686, TS: 10.49849) -> {880680199=286, 1689826712=127, 1119091505=127, 1998680479=127}]
[940429250(TR: 10.91727, TS: 10.62338) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1575418999(TR: 10.91745, TS: 10.55465) -> {880680199=286, 1689826712=127, 1119091505=127, 1998680479=127}]
[1347884590(TR: 10.91751, TS: 10.55627) -> {880680199=482, 1689826712=217, 1119091505=217, 1998680479=217}]
[1552992138(TR: 10.91755, TS: 10.64320) -> {880680199=192, 1689826712=88, 1119091505=88, 1998680479=88}]
[179662853(TR: 10.91757, TS: 10.45276) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1616519264(TR: 10.91765, TS: 10.49090) -> {880680199=420, 1689826712=186, 1119091505=186, 1998680479=186}]
