[795951878(TR: 11.09471, TS: 10.73136) -> {880680199=936, 2087390487=24}]
[1267122470(TR: 11.09484, TS: 10.50903) -> {880680199=414, 2087390487=11}]
[1709377586(TR: 11.09487, TS: 10.58700) -> {880680199=1092, 2087390487=28}]
[318094409(TR: 11.09494, TS: 10.69933) -> {880680199=702, 2087390487=18}]
[926528610(TR: 11.09500, TS: 10.70382) -> {880680199=1584, 2087390487=41}]
[1254870098(TR: 11.09502, TS: 10.62207) -> {880680199=1014, 2087390487=26}]
[924123041(TR: 11.09507, TS: 10.72769) -> {880680199=1404, 2087390487=36}]
[138156798(TR: 11.09520, TS: 10.74298) -> {880680199=1584, 2087390487=41}]
[1918641471(TR: 11.09529, TS: 10.73839) -> {880680199=468, 2087390487=12}]
[1726074490(TR: 11.09536, TS: 10.69421) -> {880680199=1802, 2087390487=49, 1689826712=1, 289890178=1, 597022555=1}]
[1989725424(TR: 11.09543, TS: 10.72660) -> {880680199=624, 2087390487=16}]
[513524535(TR: 11.09544, TS: 10.66669) -> {880680199=1296, 2087390487=34}]
[234715142(TR: 11.09553, TS: 10.68217) -> {880680199=858, 2087390487=22}]
